,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
13C U Value,0.0224744,0.0224744,0.0224744
15N U Value,0.0036760000000000013,0.0036760000000000013,0.0036760000000000013
17O U Value,0.0007598000000000001,0.0007598000000000001,0.0007598000000000001
18O U Value,0.0040104,0.0040104,0.0040104
13C13C U Value,0.00012619574217509998,0.00012619574217509998,0.00012619574217509998
13C18O U Value,9.013133375999999e-05,9.013133375999999e-05,9.013133375999999e-05
18O18O U Value,4.0183140231e-06,4.0183140231e-06,4.0183140231e-06
M0 54 ,0.9696862013627834,1.0,1.0
M0 42 ,0.9696862013627834,1.0,1.0
M1 54 15N,0.003564566476209593,0.13660247787084456,0.14057146353401864
M1 54 13C,0.02179311556390774,0.8351628750436637,0.8594285364659813
M1 42 ,0.011532566525157769,0.4419547717965679,0.44836679755234854
M1 42 15N,0.003564566476209593,0.13660247787084456,0.1385843517237973
M1 42 13C,0.010624143837405021,0.407141901583786,0.41304885072385417
M2 54 ,0.001895804401698337,0.4611857109106995,0.4875
M2 54 18O,0.0019930251402469697,0.4848362601881713,0.5125
M2 42 ,0.0018999923338565696,0.4622044945298903,0.48805132432499254
M2 42 18O,0.0019930251402469697,0.48483626018817116,0.5119486756750075
M3 54 13C,4.26070664455291e-05,0.41055705935078834,0.4875
M3 54 13C-18O,4.4792044211966486e-05,0.43161126752262363,0.5125
M3 42 18O,2.3703229956152515e-05,0.228401746465102,0.2687675613366923
M3 42 13C,2.0816829007662714e-05,0.20058870078090074,0.23603907051917158
M3 42 13C-18O,2.1836121553333658e-05,0.21041049291727895,0.247596684072068
M3 42 ,2.1836121553333665e-05,0.21041049291727904,0.24759668407206806
M4 54 18O,3.896503660942643e-06,0.8207435735453921,1.0
M4 42 18O,3.9051112435454235e-06,0.8225566394936693,1.0
