,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
13C U Value,0.05478135,0.05478135,0.05478135
15N U Value,0.003676,0.003676,0.003676
33S U Value,0.007895567999999999,0.007895567999999999,0.007895567999999999
34S U Value,0.044741552,0.044741552,0.044741552
17O U Value,0.0007598,0.0007598,0.0007598
18O U Value,0.004010399999999999,0.004010399999999999,0.004010399999999999
D U Value,0.0018691200000000002,0.0018691200000000002,0.0018691200000000002
13C18O U Value,0.00021969512604,0.00021969512604,0.00021969512604
13C34S U Value,0.0024510026196551977,0.0024510026196551977,0.0024510026196551977
34S15N U Value,0.000164469945152,0.000164469945152,0.000164469945152
18O15N U Value,1.4742230400000003e-05,1.4742230400000003e-05,1.4742230400000003e-05
18O34S U Value,0.00017943152014079998,0.00017943152014079998,0.00017943152014079998
18O18O U Value,4.02082704e-06,4.02082704e-06,4.02082704e-06
36S U Value,0.00010527399999999998,0.00010527399999999998,0.00010527399999999998
M0 133 ,0.8903107299253543,1.0,1.0
M0 104 ,0.8903107299253543,1.0,1.0
M0 102 ,0.8903107299253543,1.0,1.0
M0 61 ,0.8903107299253543,1.0,1.0
M0 56 ,0.8903107299253543,1.0,1.0
M1 133 ,0.0036888066410851223,0.0600633459491178,0.0600633459491178
M1 133 D,0.001248073193638559,0.020321870808951197,0.020321870808951197
M1 133 33S,0.0070295089092552695,0.11445864924619724,0.11445864924619724
M1 133 17O,0.0006764580925972842,0.01101449340912024,0.01101449340912024
M1 133 13C,0.04877242370479631,0.7941416405866136,0.7941416405866136
M1 104 ,0.010708292432142892,0.174358792817321,0.174358792817321
M1 104 D,0.001386747992931732,0.02257985645439022,0.02257985645439022
M1 104 15N,0.0032727822432056025,0.05328938901280074,0.05328938901280074
M1 104 33S,0.0070295089092552695,0.11445864924619724,0.11445864924619724
M1 104 13C,0.03901793896383705,0.6353133124692909,0.6353133124692909
M1 102 ,0.017338692847387226,0.282318919945276,0.282318919945276
M1 102 D,0.0011093983943453857,0.01806388516351217,0.01806388516351217
M1 102 15N,0.0032727822432056025,0.053289389012800725,0.053289389012800725
M1 102 17O,0.0006764580925972842,0.011014493409120238,0.011014493409120238
M1 102 13C,0.03901793896383705,0.6353133124692908,0.6353133124692908
M1 61 ,0.03418341815373289,0.5565947662919623,0.5565947662919623
M1 61 D,0.0006933739964658659,0.011289928227195104,0.011289928227195104
M1 61 33S,0.0070295089092552695,0.11445864924619721,0.11445864924619721
M1 61 13C,0.019508969481918523,0.3176566562346454,0.3176566562346454
M1 56 ,0.028046985279530118,0.456677712762597,0.456677712762597
M1 56 D,0.0008320487957590393,0.01354791387263413,0.01354791387263413
M1 56 15N,0.0032727822432056025,0.05328938901280073,0.05328938901280073
M1 56 13C,0.029263454222877787,0.4764849843519681,0.4764849843519681
M2 133 34S,0.039833883819113194,0.8808626204102895,0.8956846180698486
M2 133 18O,0.0035705021512926404,0.0789559435241188,0.08028451029833118
M2 133 13C-13C,0.0010687276853282965,0.023633203171406564,0.02403087163182019
M2 104 ,0.0035813131493117574,0.07919501145150479,0.08043244935348189
M2 104 34S,0.039833883819113194,0.8808626204102893,0.8946262751273296
M2 104 13C,0.00046929177250205645,0.010377636846568323,0.010539789499008578
M2 104 13C-13C,0.0006412366111969779,0.014179921902843937,0.014401486020179776
M2 102 ,0.03992148771601465,0.8827998404547417,0.8892567276981166
M2 102 18O,0.0035705021512926404,0.0789559435241188,0.07953343527385326
M2 102 13C,0.0007598696011321723,0.016803300704066472,0.0169262017434536
M2 102 13C-13C,0.0006412366111969779,0.014179921902843938,0.014283635284576497
M2 61 ,0.004060208505148764,0.08978501618115896,0.0909480986647568
M2 61 34S,0.039833883819113194,0.8808626204102893,0.8922733872378871
M2 61 13C,0.0007490455176303974,0.01656394341216368,0.016778514097355982
M2 56 ,0.043711343554030696,0.9666064398717501,0.9793456277166546
M2 56 13C,0.0009218710302256717,0.020385703162976113,0.020654372283345383
M3 133 34S,0.00016504293415005533,0.06093993265814243,0.06211413385252159
M3 133 34S-D,5.5840731692985654e-05,0.02061845571563843,0.021015735697278215
M3 133 17O-34S,3.0265784925762194e-05,0.011175243004010493,0.011390569524904396
M3 133 18O-33S,2.8191142529677332e-05,0.010409208586613435,0.010609775023460492
M3 133 13C-34S,0.002182153931354175,0.8057316377174913,0.8212566146921836
M3 133 13C-18O,0.00019559692802571511,0.07222159302614782,0.07361317120965173
M3 104 33S,2.8276501499685138e-05,0.010440726263579322,0.010629770872688708
M3 104 34S,0.00047910562268392733,0.1769034495954284,0.18010654511144902
M3 104 34S-D,6.204525743665074e-05,0.022909395239598257,0.023324203324655506
M3 104 34S-15N,0.00014642935691906012,0.05406711408626295,0.055046078210987164
