,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
13C U Value,0.05478135,0.05478135,0.05478135
15N U Value,0.003676,0.003676,0.003676
33S U Value,0.007895567999999999,0.007895567999999999,0.007895567999999999
34S U Value,0.044741552,0.044741552,0.044741552
17O U Value,0.0007598,0.0007598,0.0007598
18O U Value,0.004010399999999999,0.004010399999999999,0.004010399999999999
D U Value,0.0018691200000000002,0.0018691200000000002,0.0018691200000000002
13C18O U Value,0.00021969512604,0.00021969512604,0.00021969512604
13C34S U Value,0.0024510026196551977,0.0024510026196551977,0.0024510026196551977
34S15N U Value,0.000164469945152,0.000164469945152,0.000164469945152
18O15N U Value,1.4742230400000003e-05,1.4742230400000003e-05,1.4742230400000003e-05
18O34S U Value,0.00017943152014079998,0.00017943152014079998,0.00017943152014079998
18O18O U Value,4.02082704e-06,4.02082704e-06,4.02082704e-06
36S U Value,0.00010527399999999998,0.00010527399999999998,0.00010527399999999998
M0 133 ,0.8903107299253543,1.0,1.0
M0 104 ,0.8903107299253543,1.0,1.0
M0 102 ,0.8903107299253543,1.0,1.0
M0 61 ,0.8903107299253543,1.0,1.0
M0 56 ,0.8903107299253543,1.0,1.0
M1 133 ,0.0036888066410851223,0.0600633459491178,0.0600633459491178
M1 133 D,0.001248073193638559,0.020321870808951197,0.020321870808951197
M1 133 33S,0.0070295089092552695,0.11445864924619724,0.11445864924619724
M1 133 17O,0.0006764580925972842,0.01101449340912024,0.01101449340912024
M1 133 13C,0.04877242370479631,0.7941416405866136,0.7941416405866136
M1 104 ,0.010708292432142892,0.174358792817321,0.174358792817321
M1 104 D,0.001386747992931732,0.02257985645439022,0.02257985645439022
M1 104 15N,0.0032727822432056025,0.05328938901280074,0.05328938901280074
M1 104 33S,0.0070295089092552695,0.11445864924619724,0.11445864924619724
M1 104 13C,0.03901793896383705,0.6353133124692909,0.6353133124692909
M1 102 ,0.017338692847387226,0.282318919945276,0.282318919945276
M1 102 D,0.0011093983943453857,0.01806388516351217,0.01806388516351217
M1 102 15N,0.0032727822432056025,0.053289389012800725,0.053289389012800725
M1 102 17O,0.0006764580925972842,0.011014493409120238,0.011014493409120238
M1 102 13C,0.03901793896383705,0.6353133124692908,0.6353133124692908
M1 61 ,0.03418341815373289,0.5565947662919623,0.5565947662919623
M1 61 D,0.0006933739964658659,0.011289928227195104,0.011289928227195104
M1 61 33S,0.0070295089092552695,0.11445864924619721,0.11445864924619721
M1 61 13C,0.019508969481918523,0.3176566562346454,0.3176566562346454
M1 56 ,0.028046985279530118,0.456677712762597,0.456677712762597
M1 56 D,0.0008320487957590393,0.01354791387263413,0.01354791387263413
M1 56 15N,0.0032727822432056025,0.05328938901280073,0.05328938901280073
M1 56 13C,0.029263454222877787,0.4764849843519681,0.4764849843519681
M2 133 34S,0.039833883819113194,0.8808626204102895,0.8826739791115233
M2 133 18O,0.0035705021512926404,0.0789559435241188,0.07911830429639215
M2 133 13C,0.00020207780768760842,0.0044686274633623235,0.004477816509475511
M2 133 13C-D,6.837113444633167e-05,0.0015119182684346318,0.0015150272961622563
M2 133 13C-33S,0.00038508598788603097,0.008515560619519974,0.008533071562164886
M2 133 13C-13C,0.0010687276853282965,0.023633203171406564,0.02368180122428184
M2 104 ,0.0035813131493117574,0.07919501145150479,0.07936859571943576
M2 104 33S,8.454805106186954e-05,0.001869644901991868,0.0018737428992729452
M2 104 34S,0.039833883819113194,0.8808626204102893,0.8827933467314203
M2 104 13C,0.00046929177250205645,0.010377636846568323,0.0104003831592697
M2 104 13C-D,6.077434173007259e-05,0.0013439273497196725,0.0013468730484559666
M2 104 13C-15N,0.00014342994363106493,0.0031717237657739555,0.0031786757358269976
M2 104 13C-33S,0.0003080687903088248,0.006812448495615978,0.006827380419524508
M2 104 13C-13C,0.0006412366111969779,0.014179921902843937,0.014211002286793763
M2 102 ,0.03992148771601465,0.8827998404547417,0.8842187331682014
M2 102 15N,6.373703490699543e-05,0.0014094425700568805,0.001411707916855837
M2 102 18O,0.0035705021512926404,0.0789559435241188,0.07908284659751877
M2 102 13C,0.0007598696011321723,0.016803300704066472,0.016830308050283016
M2 102 13C-D,4.861947338405807e-05,0.001075141879775738,0.0010768699169923775
M2 102 13C-15N,0.00014342994363106493,0.0031717237657739564,0.00317682156431688
M2 102 13C-13C,0.0006412366111969779,0.014179921902843938,0.014202712785831647
M2 61 ,0.004060208505148764,0.08978501618115896,0.08987943667795
M2 61 33S,0.0002698975025052323,0.005968351526518168,0.005974628016072063
M2 61 34S,0.039833883819113194,0.8808626204102893,0.8817889607926976
M2 61 13C,0.0007490455176303974,0.01656394341216368,0.01658136252987748
M2 61 13C-33S,0.00015403439515441236,0.0034062242478079883,0.003409806330869719
