,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
13C U Value,0.054331861999999995,0.054331861999999995,0.054331861999999995
15N U Value,0.0037127600000000016,0.0037127600000000016,0.0037127600000000016
33S U Value,0.007915306920000004,0.007915306920000004,0.007915306920000004
34S U Value,0.04495874400000003,0.04495874400000003,0.04495874400000003
17O U Value,0.0007499226000000004,0.0007499226000000004,0.0007499226000000004
18O U Value,0.00391014,0.00391014,0.00391014
D U Value,0.0017912400000000006,0.0017912400000000006,0.0017912400000000006
13C18O U Value,0.00021244518688068,0.00021244518688068,0.00021244518688068
13C34S U Value,0.002442692274701328,0.002442692274701328,0.002442692274701328
34S15N U Value,0.00016692102637344008,0.00016692102637344008,0.00016692102637344008
18O15N U Value,1.4517411386400003e-05,1.4517411386400003e-05,1.4517411386400003e-05
18O34S U Value,0.00017579498326416007,0.00017579498326416007,0.00017579498326416007
18O18O U Value,3.8222987049e-06,3.8222987049e-06,3.8222987049e-06
36S U Value,0.00010624497378640781,0.00010624497378640781,0.00010624497378640781
M0 133 ,0.8906400439358315,1.0,1.0
M0 104 ,0.8906400439358315,1.0,1.0
M0 102 ,0.8906400439358315,1.0,1.0
M0 61 ,0.8906400439358315,1.0,1.0
M0 56 ,0.8906400439358315,1.0,1.0
M1 133 ,0.003750656227902224,0.06147627587467677,0.06147627587467677
M1 133 D,0.0011514265739205947,0.01887280875842021,0.01887280875842021
M1 133 33S,0.007049689302994394,0.1155500845952068,0.1155500845952068
M1 133 17O,0.0006679110974124734,0.010947600736859037,0.010947600736859037
M1 133 13C,0.04839013195879553,0.7931532300348372,0.7931532300348372
M1 104 ,0.010738137601383058,0.17600672241083729,0.17600672241083729
M1 104 D,0.0012832163625018677,0.02103294951992614,0.02103294951992614
M1 104 15N,0.0033067327295231994,0.0542000122569726,0.0542000122569726
M1 104 33S,0.007049689302994394,0.1155500845952068,0.1155500845952068
M1 104 13C,0.0386320391646227,0.6332102312170572,0.6332102312170572
M1 102 ,0.017058475894174106,0.27960215662268617,0.27960215662268617
M1 102 D,0.0011444902692584226,0.018759117139393582,0.018759117139393582
M1 102 15N,0.0033067327295231994,0.0542000122569726,0.0542000122569726
M1 102 17O,0.0006679110974124734,0.010947600736859037,0.010947600736859037
M1 102 13C,0.03883220517065702,0.6364911132440887,0.6364911132440887
M1 61 ,0.034182348601100684,0.5602762196686235,0.5602762196686235
M1 61 D,0.0005618406776359529,0.009209021141156848,0.009209021141156848
M1 61 33S,0.007049689302994394,0.11555008459520678,0.11555008459520678
M1 61 13C,0.019215936579294192,0.3149646745950129,0.3149646745950129
M1 56 ,0.027789677190894996,0.45549518741449685,0.45549518741449685
M1 56 D,0.0008392928641228431,0.013756685902221956,0.013756685902221956
M1 56 15N,0.0033067327295231994,0.054200012256972595,0.054200012256972595
M1 56 13C,0.029074112376484183,0.47654811442630857,0.47654811442630857
M2 133 D,4.848878376681819e-06,0.00010699912021809134,0.00010699912021809134
M2 133 ,1.7218646069687805e-06,3.799600315122912e-05,3.799600315122912e-05
M2 133 D-D,6.592593564126061e-07,1.4547729526671684e-05,1.4547729526671684e-05
M2 133 33S,2.9687595195255568e-05,0.0006551095574100485,0.0006551095574100485
M2 133 33S-D,9.113894728425578e-06,0.00020111428704655836,0.00020111428704655836
M2 133 34S,0.04004205773145983,0.8835991782330836,0.8835991782330836
M2 133 17O,2.8127018701346274e-06,6.206726631616109e-05,6.206726631616109e-05
M2 133 17O-D,8.634808100236246e-07,1.9054238902349642e-05,1.9054238902349642e-05
M2 133 17O-33S,5.286721331293744e-06,0.0001166609032734183,0.0001166609032734183
M2 133 18O,0.0034825272613952523,0.07684815418278383,0.07684815418278383
M2 133 17O-17O,1.2522040668510385e-07,2.763210851625144e-06,2.763210851625144e-06
M2 133 13C,0.00020378013658382412,0.004496770931035966,0.004496770931035966
M2 133 13C-D,6.255914971738654e-05,0.0013804788368259498,0.0013804788368259498
M2 133 13C-33S,0.00038302274635316754,0.008452077717682744,0.008452077717682744
M2 133 13C-17O,3.6288853572883045e-05,0.0008007780571883002,0.0008007780571883002
M2 133 13C-13C,0.00105163745519253,0.023206249724703486,0.023206249724703486
M2 104 ,0.003493651203415384,0.0770936237361624,0.0770936237361624
M2 104 D,1.5471293893320685e-05,0.00034140159983836807,0.00034140159983836807
M2 104 D-D,8.301244288751654e-07,1.831817106164895e-05,1.831817106164895e-05
M2 104 15N,3.9868127760910966e-05,0.0008797611042740039,0.0008797611042740039
M2 104 15N-D,4.764274382042436e-06,0.00010513218269355294,0.00010513218269355294
M2 104 33S,8.499565486413955e-05,0.0018755802035700844,0.0018755802035700844
M2 104 33S-D,1.0157051353968266e-05,0.00022413339219044156,0.00022413339219044156
M2 104 33S-15N,2.6173804456585464e-05,0.0005775715190306525,0.0005775715190306525
M2 104 34S,0.04004205773145983,0.8835991782330835,0.8835991782330835
M2 104 13C,0.00046577307543745007,0.01027811081687441,0.01027811081687441
M2 104 13C-D,5.566026938760512e-05,0.0012282427796531453,0.0012282427796531453
M2 104 13C-15N,0.0001434314897288446,0.0031650707690174837,0.0031650707690174837
