,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
13C U Value,0.05478135,0.05478135,0.05478135
15N U Value,0.003676,0.003676,0.003676
33S U Value,0.007895567999999999,0.007895567999999999,0.007895567999999999
34S U Value,0.044741552,0.044741552,0.044741552
17O U Value,0.0007598,0.0007598,0.0007598
18O U Value,0.004010399999999999,0.004010399999999999,0.004010399999999999
D U Value,0.0018691200000000002,0.0018691200000000002,0.0018691200000000002
13C18O U Value,0.00021969512604,0.00021969512604,0.00021969512604
13C34S U Value,0.0024510026196551977,0.0024510026196551977,0.0024510026196551977
34S15N U Value,0.000164469945152,0.000164469945152,0.000164469945152
18O15N U Value,1.4742230400000003e-05,1.4742230400000003e-05,1.4742230400000003e-05
18O34S U Value,0.00017943152014079998,0.00017943152014079998,0.00017943152014079998
18O18O U Value,4.02082704e-06,4.02082704e-06,4.02082704e-06
36S U Value,0.00010527399999999998,0.00010527399999999998,0.00010527399999999998
M0 133 ,0.8903107299253543,1.0,1.0
M0 104 ,0.8903107299253543,1.0,1.0
M0 102 ,0.8903107299253543,1.0,1.0
M0 61 ,0.8903107299253543,1.0,1.0
M0 56 ,0.8903107299253543,1.0,1.0
M1 133 ,0.0036888066410851223,0.0600633459491178,0.0600633459491178
M1 133 D,0.001248073193638559,0.020321870808951197,0.020321870808951197
M1 133 33S,0.0070295089092552695,0.11445864924619724,0.11445864924619724
M1 133 17O,0.0006764580925972842,0.01101449340912024,0.01101449340912024
M1 133 13C,0.04877242370479631,0.7941416405866136,0.7941416405866136
M1 104 ,0.010708292432142892,0.174358792817321,0.174358792817321
M1 104 D,0.001386747992931732,0.02257985645439022,0.02257985645439022
M1 104 15N,0.0032727822432056025,0.05328938901280074,0.05328938901280074
M1 104 33S,0.0070295089092552695,0.11445864924619724,0.11445864924619724
M1 104 13C,0.03901793896383705,0.6353133124692909,0.6353133124692909
M1 102 ,0.017338692847387226,0.282318919945276,0.282318919945276
M1 102 D,0.0011093983943453857,0.01806388516351217,0.01806388516351217
M1 102 15N,0.0032727822432056025,0.053289389012800725,0.053289389012800725
M1 102 17O,0.0006764580925972842,0.011014493409120238,0.011014493409120238
M1 102 13C,0.03901793896383705,0.6353133124692908,0.6353133124692908
M1 61 ,0.03418341815373289,0.5565947662919623,0.5565947662919623
M1 61 D,0.0006933739964658659,0.011289928227195104,0.011289928227195104
M1 61 33S,0.0070295089092552695,0.11445864924619721,0.11445864924619721
M1 61 13C,0.019508969481918523,0.3176566562346454,0.3176566562346454
M1 56 ,0.028046985279530118,0.456677712762597,0.456677712762597
M1 56 D,0.0008320487957590393,0.01354791387263413,0.01354791387263413
M1 56 15N,0.0032727822432056025,0.05328938901280073,0.05328938901280073
M1 56 13C,0.029263454222877787,0.4764849843519681,0.4764849843519681
M2 133 D,5.171116701738768e-06,0.00011435097388508757,0.00011435097388508757
M2 133 ,1.594105646818828e-06,3.5251096369214975e-05,3.5251096369214975e-05
M2 133 D-D,7.775995225645676e-07,1.7195369554885246e-05,1.7195369554885246e-05
M2 133 33S,2.912522367353918e-05,0.0006440577313929785,0.0006440577313929785
M2 133 33S-D,9.85424676935041e-06,0.00021791090396399302,0.00021791090396399302
M2 133 34S,0.039833883819113194,0.8808626204102895,0.8808626204102895
M2 133 17O,2.802755285896476e-06,6.19784497217154e-05,6.19784497217154e-05
M2 133 17O-D,9.48286012526577e-07,2.096982824184934e-05,2.096982824184934e-05
M2 133 17O-33S,5.341020869252153e-06,0.00011810813276254197,0.00011810813276254197
M2 133 18O,0.0035705021512926404,0.0789559435241188,0.0789559435241188
M2 133 17O-17O,1.2849321468885417e-07,2.8414218987468485e-06,2.8414218987468485e-06
M2 133 13C,0.00020207780768760842,0.0044686274633623235,0.0044686274633623235
M2 133 13C-D,6.837113444633167e-05,0.0015119182684346318,0.0015119182684346318
M2 133 13C-33S,0.00038508598788603097,0.008515560619519974,0.008515560619519974
M2 133 13C-17O,3.705728753090423e-05,0.0008194626350772078,0.0008194626350772078
M2 133 13C-13C,0.0010687276853282965,0.023633203171406564,0.023633203171406564
M2 104 ,0.0035813131493117574,0.07919501145150479,0.07919501145150479
M2 104 D,1.667923629230577e-05,0.0003688346296735758,0.0003688346296735758
M2 104 D-D,9.719994032057098e-07,2.149421194360656e-05,2.149421194360656e-05
M2 104 15N,3.936368298055726e-05,0.0008704648810221264,0.0008704648810221264
M2 104 15N-D,5.097685622017047e-06,0.00011272716302102621,0.00011272716302102621
M2 104 33S,8.454805106186954e-05,0.001869644901991868,0.001869644901991868
M2 104 33S-D,1.094916307705601e-05,0.00024212322662665889,0.00024212322662665889
M2 104 33S-15N,2.5840474750422375e-05,0.0005714207634049807,0.0005714207634049807
